iter	Logloss
0	0.3911786239
1	0.2249080824
2	0.1297903353
3	0.0758927442
4	0.04595948225
5	0.02987694517
6	0.02027718079
7	0.01446834172
8	0.01075513406
9	0.008315698461
10	0.006709031284
11	0.005638928912
12	0.00485861973
13	0.004305041414
14	0.003845444127
15	0.003523762744
16	0.003290949197
17	0.003108975325
18	0.002928634249
19	0.002818174598
20	0.002741551962
21	0.002662816724
22	0.002595596267
23	0.002542407441
24	0.002490402381
25	0.002454509839
26	0.002399053053
27	0.002365943435
28	0.00233104423
29	0.002311571015
30	0.002283476133
31	0.002246937773
32	0.002226652047
33	0.002213738507
34	0.002191418039
35	0.002175217972
36	0.002157819873
37	0.002129016778
38	0.002106901053
39	0.002090661059
40	0.002082893031
41	0.002064146161
42	0.002056481233
43	0.002042313517
44	0.002026116757
45	0.002011614748
46	0.001996515098
47	0.001980082241
48	0.001968555675
49	0.001961453139
50	0.001952790253
51	0.001934854667
52	0.001927941611
53	0.001918754781
54	0.001911901535
55	0.001896055546
56	0.001884495195
57	0.001879011183
58	0.001875265199
59	0.001851635224
60	0.00184598304
61	0.001843287271
62	0.001823392945
63	0.001819291589
64	0.001815802866
65	0.001796382664
66	0.001792857631
67	0.001772517377
68	0.001754672776
69	0.001737782573
70	0.001722365093
71	0.001712708066
72	0.001695108327
73	0.001683236672
74	0.001675654347
75	0.001666260851
76	0.001659028505
77	0.00165011102
78	0.001643471152
79	0.001631046265
80	0.00162599473
81	0.00162287075
82	0.001615779691
83	0.001611127583
84	0.001605825108
85	0.001603423735
86	0.001594857447
87	0.001578451365
88	0.001570195773
89	0.001563780809
90	0.001558086201
91	0.001551127881
92	0.00154340968
93	0.001532922845
94	0.001523380091
95	0.00151671958
96	0.001505918761
97	0.001492729728
98	0.001487155792
99	0.001473840534
100	0.001460847227
101	0.001455180708
102	0.001441593624
103	0.001437300611
104	0.001427189438
105	0.001421481318
106	0.001416912888
107	0.001410654957
108	0.001404393182
109	0.001397708736
110	0.001376172597
111	0.001373567425
112	0.001364985261
113	0.00135942061
114	0.001353282699
115	0.001345886825
116	0.001334558446
117	0.001328781536
118	0.00131773614
119	0.00130873589
120	0.001302430307
121	0.001296438896
122	0.001291087445
123	0.00128868733
124	0.001284689377
125	0.001276949364
126	0.001272616696
127	0.001264884526
128	0.001258325517
129	0.001249193963
130	0.001246187644
131	0.00124152692
132	0.00123782955
133	0.001234186994
134	0.001228355885
135	0.001223612304
136	0.001218489098
137	0.001206029213
138	0.001198425855
139	0.001193493618
140	0.001189453098
141	0.001179672126
142	0.001177926058
143	0.001176106966
144	0.001172369197
145	0.001157860393
146	0.001153641816
147	0.001152687284
148	0.001149651649
149	0.001148791096
150	0.001144051812
151	0.001139028918
152	0.00113484357
153	0.00113027765
154	0.001123488748
155	0.001120831886
156	0.001111185256
157	0.001107239656
158	0.001103899062
159	0.001097662997
160	0.001093180576
161	0.001084786154
162	0.001076375044
163	0.001072144117
164	0.001068884031
165	0.001060256077
166	0.001054938839
167	0.001049966354
168	0.001045216522
169	0.001034555393
170	0.00103031247
171	0.001025524942
172	0.001020859338
173	0.001017362684
174	0.001013160102
175	0.001010112513
176	0.001007964663
177	0.001005669613
178	0.0009937963267
179	0.0009850431986
180	0.0009828223706
181	0.000979347266
182	0.0009762499862
183	0.0009716202709
184	0.0009685239951
185	0.0009660546215
186	0.0009639221854
187	0.0009612832999
188	0.0009593195124
189	0.0009569430486
190	0.0009550397815
191	0.0009447432028
192	0.0009390352886
193	0.0009357163259
194	0.0009289453436
195	0.0009259799777
196	0.0009201681746
197	0.0009136563099
198	0.0009100699835
199	0.0008994831355
200	0.0008966301421
201	0.0008887088833
202	0.000886401311
203	0.0008836201321
204	0.0008808660306
205	0.0008766167327
206	0.0008729768894
207	0.0008699842655
208	0.0008678669871
209	0.0008669658691
210	0.0008643430556
211	0.0008582749819
212	0.0008571298078
213	0.0008541301495
214	0.0008520340259
215	0.0008512457218
216	0.000845348534
217	0.00084392155
218	0.0008401192791
219	0.0008390162117
220	0.0008370109865
221	0.0008343229713
222	0.0008330455289
223	0.0008283901562
224	0.0008266374806
225	0.0008240597358
226	0.0008215000323
227	0.0008171763216
228	0.000811547765
229	0.0008097495951
230	0.0007982942902
231	0.0007965321604
232	0.0007943418288
233	0.0007921739743
234	0.000790719549
235	0.0007893158617
236	0.0007881919376
237	0.0007856458048
238	0.0007781184758
239	0.000774718701
240	0.0007718012249
241	0.0007709392988
242	0.0007685555138
243	0.0007652701824
244	0.0007619114142
245	0.0007587963745
246	0.000756351065
247	0.0007547006731
248	0.0007526398169
249	0.000751560597
250	0.0007502028496
251	0.000742691023
252	0.0007354222836
253	0.0007320299146
254	0.0007292032025
255	0.0007250504659
256	0.0007167280684
257	0.0007101395888
258	0.0007087966941
259	0.0007050335458
260	0.0007013823723
261	0.0007001687457
262	0.0006965927873
263	0.0006949682463
264	0.0006939283789
265	0.0006899944002
266	0.0006878092753
267	0.0006865107442
268	0.0006848668984
269	0.0006839406299
270	0.000676672635
271	0.0006708767812
272	0.0006693806624
273	0.0006677821458
274	0.0006663184099
275	0.0006631097281
276	0.0006602220912
277	0.0006578539299
278	0.000654139469
279	0.000648592899
280	0.000646419648
281	0.0006447317309
282	0.0006403894684
283	0.0006379328123
284	0.0006355585927
285	0.0006305207397
286	0.0006258916476
287	0.000619910865
288	0.0006189297179
289	0.0006149633455
290	0.000613649729
291	0.000611423722
292	0.0006100557745
293	0.0006072943865
294	0.0006048812093
295	0.0006029022538
296	0.0005997221958
297	0.0005965783907
298	0.0005940577344
299	0.0005929713239
300	0.0005913313666
301	0.0005884262225
302	0.0005844311889
303	0.0005837883464
304	0.0005810609893
305	0.0005787624118
306	0.0005777027182
307	0.0005768172441
308	0.0005731577112
309	0.0005708316599
310	0.0005695097587
311	0.000567855228
312	0.000565674058
313	0.0005631724654
314	0.0005618423186
315	0.0005605083783
316	0.0005593868926
317	0.0005567174615
318	0.0005559489887
319	0.0005539068428
320	0.0005533680586
321	0.0005513996214
322	0.000548534556
323	0.0005474227304
324	0.0005451177819
325	0.0005441950987
326	0.000543903768
327	0.0005425996984
328	0.0005395639284
329	0.0005359622267
330	0.0005338393373
331	0.0005320510018
332	0.0005302382707
333	0.0005263697582
334	0.0005233493015
335	0.0005204170567
336	0.0005176993673
337	0.0005164513173
338	0.0005145684738
339	0.0005127573851
340	0.0005111554136
341	0.0005102398096
342	0.0005097018861
343	0.000507059236
344	0.0005061071291
345	0.0005051645216
346	0.000500942834
347	0.0004980572652
348	0.0004973365738
349	0.0004948298818
350	0.0004918073804
351	0.0004899834367
352	0.0004884049403
353	0.0004871611445
354	0.0004843411328
355	0.0004826339028
356	0.000482048981
357	0.0004784529037
358	0.0004777129955
359	0.0004740424844
360	0.0004708848486
361	0.0004676035665
362	0.0004649148265
363	0.0004608729501
364	0.0004583050299
365	0.000457585111
366	0.0004568120558
367	0.0004554618213
368	0.0004536027675
369	0.000451370471
370	0.0004478726193
371	0.0004472939786
372	0.0004444789889
373	0.0004429943467
374	0.0004399774921
375	0.0004392639843
376	0.0004372052292
377	0.0004343610059
378	0.0004310871428
379	0.0004292083914
380	0.0004260056195
381	0.000425175169
382	0.0004222793068
383	0.000421895613
384	0.0004212142487
385	0.0004206461223
386	0.000418615789
387	0.0004165500721
388	0.0004139230626
389	0.0004128589787
390	0.0004117436687
391	0.0004108426411
392	0.0004097194021
393	0.0004080106607
394	0.0004071131247
395	0.0004061504616
396	0.0004051339663
397	0.000403420137
398	0.0004010973403
399	0.0003985308472
400	0.0003963925748
401	0.0003950190982
402	0.0003929052384
403	0.0003914917621
404	0.0003910041341
405	0.0003906939349
406	0.0003902462622
407	0.0003892583869
408	0.0003859894965
409	0.0003828742759
410	0.0003824434315
411	0.0003812369074
412	0.0003800978842
413	0.0003782616917
414	0.0003773913259
415	0.0003771186087
416	0.0003747796204
417	0.0003727582744
418	0.0003695869793
419	0.0003671772323
420	0.0003669269608
421	0.0003652987023
422	0.0003641506626
423	0.0003622698432
424	0.000360000541
425	0.000358831669
426	0.0003581362213
427	0.0003554584222
428	0.0003537465851
429	0.0003524441445
430	0.0003500522845
431	0.0003493055483
432	0.0003485973127
433	0.0003460991257
434	0.0003442760076
